,price_type,metric_code,study_number,location_type,adjustment_index,adjusted,sale_type,frequency,date,rand_millions,datetime
207,Current prices,D64200,P6420,Total industry,,Actual figures,total,MONTHLY,11-2005,2180.0,2005-11-01
208,Constant prices,A64201_CON,P6420,Restaurants and coffee shops,2015 = 100,Actual figures,food,MONTHLY,11-2005,,2005-11-01
209,Constant prices,B64201_CON,P6420,Restaurants and coffee shops,2015 = 100,Actual figures,bar,MONTHLY,11-2005,,2005-11-01
210,Constant prices,C64201_CON,P6420,Restaurants and coffee shops,2015 = 100,Actual figures,other,MONTHLY,11-2005,,2005-11-01
211,Constant prices,D64201_CON,P6420,Restaurants and coffee shops,2015 = 100,Actual figures,total,MONTHLY,11-2005,,2005-11-01
212,Constant prices,A64203_CON,P6420,Take-away and fast food,2015 = 100,Actual figures,food,MONTHLY,11-2005,,2005-11-01
213,Constant prices,B64203_CON,P6420,Take-away and fast food,2015 = 100,Actual figures,bar,MONTHLY,11-2005,,2005-11-01
214,Constant prices,C64203_CON,P6420,Take-away and fast food,2015 = 100,Actual figures,other,MONTHLY,11-2005,,2005-11-01
215,Constant prices,D64203_CON,P6420,Take-away and fast food,2015 = 100,Actual figures,total,MONTHLY,11-2005,,2005-11-01
216,Constant prices,A64209_CON,P6420,Catering,2015 = 100,Actual figures,food,MONTHLY,11-2005,,2005-11-01
217,Constant prices,B64209_CON,P6420,Catering,2015 = 100,Actual figures,bar,MONTHLY,11-2005,,2005-11-01
218,Constant prices,C64209_CON,P6420,Catering,2015 = 100,Actual figures,other,MONTHLY,11-2005,,2005-11-01
219,Constant prices,D64209_CON,P6420,Catering,2015 = 100,Actual figures,total,MONTHLY,11-2005,,2005-11-01
220,Constant prices,A64200_CON,P6420,Total industry,2015 = 100,Actual figures,food,MONTHLY,11-2005,,2005-11-01
